id,t
1,อฺัมมะ ยะตะสาอะลูน
2,อฺะนิน นะบะอิล อฺะซฺีม
3,อัลละซี ฮุม ฟีฮิ มุคตะลิฟูน
4,กัลลา สะยะอฺ์ละมูน
5,ษุมมะ กัลลา สะยะอฺ์ละมูน
6,อะลัม นัจญ์อฺะลิล อัรเฎาะ มิฮาดา
7,วัลญิบาละ เอาตาดา
8,วะเคาะลักฺนากุม อัซวาญา
9,วะญะอฺัลนา เนามะกุม สุบาตา
10,วะญะอฺัลนัล ลัยละ ลิบาสา
11,วะญะอฺัลนัน นะฮาเราะ มะอฺาชา
12,วะบะนัยนา เฟาเกฺาะกุม สับอฺัน ชิดาดา
13,วะญะอฺัลนา สิรอเญา วะฮ์ฮาญา
14,วะอันซัลนา มินัล มุอฺ์ศิรอติ มาอัน ษัจญ์ญาญา
15,ลินุคริญะ บิฮี ฮับเบา วะนะบาตา
16,วะญันนาติน อัลฟาฟา
17,อินนะ เยามัล ฟัศลิ กานะ มีกฺอตา
18,เยามะ ยุนฟะคุ ฟิศ ศูริ ฟะตะอ์ตูนะ อัฟวาญา
19,วะฟุติฮะติส สะมาอุ ฟะกานัต อับวาบา
20,วะสุยยิเราะติล ญิบาลุ ฟะกานัต สะรอบา
21,อินนะ ญะฮันนะมะ กานัต มิรศอดา
22,ลิฏฏอฆีนะ มะอาบา
23,ลาบิษีนะ ฟีฮา อะห์กฺอบา
24,ลา ยะซูกฺูนะ ฟีฮา บัรเดา วะลา ชะรอบา
25,อิลลา ฮะมีเมา วะฆ็อสสากฺอ
26,ญะซาเอา วิฟากฺอ
27,อินนะฮุม กานู ลา ยัรญูนะ ฮิสาบา
28,วะกัซซะบู บิอายาตินา กิซซาบา
29,วะกุลละ ชัยอิน อะห์ศ็อยนาฮุ กิตาบา
30,ฟะซูกฺู ฟะลัน นะซีดะกุม อิลลา อฺะซาบา
31,อินนะ ลิลมุตตะกฺีนะ มะฟาซา
32,ฮะดาอิเกฺาะ วะอะอฺ์นาบา
33,วะกะวาอฺิบะ อัตรอบา
34,วะกะอ์สัน ดิฮากฺอ
35,ลา ยัสมะอฺูนะ ฟีฮา ลัฆเวา วะลา กิซซาบา
36,ญะซาอัม มิร ร็อบบิกะ อฺะฏออัน ฮิสาบา
37,ร็อบบิส สะมาวาติ วัลอัรฎิ วะมา บัยนะฮุมัร เราะห์มาน  ^  ลา ยัมลิกูนะ มินฮุ คิฏอบา
38,เยามะ ยะกฺูมุร รูฮุ วัลมะลาอิกะตุ ศ็อฟฟา  ^  ลา ยะตะกัลละมูนะ อิลลา มัน อะซินะ ละฮุร เราะห์มานุ วะกฺอละ เศาะวาบา
39,ซาลิกัล เยามุล ฮักฺกฺ์  ^  ฟะมัน ชาอัต ตะเคาะซะ อิลา ร็อบบิฮี มะอาบา
40,อินนา อันซัรนากุม อฺะซาบัน เกฺาะรีบัย เยามะ ยันซฺุรุล มัรอุ มา กฺ็อดดะมัต ยะดาฮุ วะยะกฺูลุล กาฟิรุ ยาลัยตะนี กุนตุ ตุรอบา
