id,t
1,วันนาซิอฺาติ ฆ็อรกฺอ
2,วันนาชิฏอติ นัชฏอ
3,วัสสาบิฮาติ สับฮา
4,ฟัสสาบิกฺอติ สับกฺอ
5,ฟัลมุดับบิรอติ อัมรอ
6,เยามะ ตัรญุฟุร รอญิฟะฮ์
7,ตัตบะอฺุฮัร รอดิฟะฮ์
8,กฺุลูบุย เยามะอิซิว วาญิฟะฮ์
9,อับศอรุฮา คอชิอฺะฮ์
10,ยะกฺูลูนะ อะอินนา ละมัรดูดูนะ ฟิล ฮาฟิเราะฮ์
11,อะอิซา กุนนา อฺิซฺอมัน นะคิเราะฮ์
12,กฺอลู ติลกะ อิซัน กัรเราะตุน คอสิเราะฮ์
13,ฟะอินนะมา ฮิยะ ซัจญ์เราะตู วาฮิดะฮ์
14,ฟะอิซา ฮุม บิสสาฮิเราะฮ์
15,ฮัล อะตากะ ฮะดีษุ มูสา
16,อิซ นาดาฮุ ร็อบบุฮู บิลวาดิล มุกฺ็อดดะสิ ฏุวา
17,อิซฮับ อิลา ฟิรเอฺานะ อินนะฮู เฏาะฆอ
18,ฟะกฺุล ฮัล ละกะ อิลา อัน ตะซักกา
19,วะอะฮ์ดิยะกะ อิลา ร็อบบิกะ ฟะตัคชา
20,ฟะอะรอฮุล อายะตัล กุบรอ
21,ฟะกัซซะบะ วะอฺะศอ
22,ษุมมะ อัดบะเราะ ยัสอฺา
23,ฟะฮะชะเราะ ฟะนาดา
24,ฟะกฺอละ อะนะ ร็อบบุกุมุล อะอฺ์ลา
25,ฟะอะเคาะซะฮุล ลอฮุ นะกาลัล อาคิเราะติ วัลอูลา
26,อินนะ ฟี ซาลิกะ ละอฺิบเราะตัล ลิมัย ยัคชา
27,อะอันตุม อะชัดดุ ค็อลกฺ็อน อะมิส สะมาอ์  ^  บะนาฮา
28,เราะฟะอฺะ สัมกะฮา ฟะเสาวาฮา
29,วะอัฆเฏาะชะ ลัยละฮา วะอัคเราะญะ ฎุฮาฮา
30,วัลอัรเฎาะ บะอฺ์ดะ ซาลิกะ ดะฮาฮา
31,อัคเราะญะ มินฮา มาอะฮา วะมัรอฺาฮา
32,วัลญิบาละ อัรสาฮา
33,มะตาอฺัล ละกุม วะ ลิอันอฺามิกุม
34,ฟะอิซา ญาอะติฏ ฏอ-มมะตุล กุบรอ
35,เยามะ ยะตะซักกะรุล อินสานุ มา สะอฺา
36,วะบุรริซะติล ญะฮีมุ ลิมัย ยะรอ
37,ฟะอัมมา มัน เฏาะฆอ
38,วะอาษะร็อล ฮะยาตัด ดุนยา
39,ฟะอินนัล ญะฮีมะ ฮิยัล มะอ์วา
40,วะอัมมา มัน คอฟะ มะกฺอมะ ร็อบบิฮี วะนะฮัน นัฟสะ อฺะนิล ฮะวา
41,ฟะอินนัล ญันนะตะ ฮิยัล มะอ์วา
42,ยัสอะลูนะกะ อฺะนิส สาอฺะติ อัยยานะ มุรสาฮา
43,ฟีมะ อันตะ มิน ซิกรอฮา
44,อิลา ร็อบบิกะ มุนตะฮาฮา
45,อินนะมา อันตะ มุนซิรุ มัย ยัคชาฮา
46,กะอันนะฮุม เยามะ ยะเรอ์านะฮา ลัม ยัลบะษู อิลลา อฺะชีย์ยะตัน เอา ฎุฮาฮา
