id,t
1,ยัสอะลูนะกะ อฺะนิล อันฟาล  ^  กฺุลิล อันฟาลุ ลิลลาฮิ วัรเราะสูล  ^  ฟัตตะกฺุล ลอฮะ วะอัศลิฮู ซาตะ บัยนิกุม  ^  วะอะฏีอฺุล ลอฮะ วะเราะสูละฮู อิน กุนตุม มุอ์มินีน
2,อินนะมัล มุอ์มินูนัล ละซีนะ อิซา ซุกิร็อล ลอฮุ วะญิลัต กฺุลูบุฮุม วะอิซา ตุลิยัต อฺะลัยฮิม อายาตุฮู ซาดัตฮุม อีมาเนา วะอฺะลา ร็อบบิฮิม ยะตะวักกะลูน
3,อัลละซีนะ ยุกฺีมูนัศ เศาะลาตะ วะมิมมา เราะซักฺนาฮุม ยุนฟิกฺูน
4,อุลาอิกะ ฮุมุล มุอ์มินูนะ ฮักฺกฺอ  ^  ละฮุม ดะเราะญาตุน อฺินดะ ร็อบบิฮิม วะมัฆฟิเราะตู วะริซกฺุน กะรีม
5,กะมา อัคเราะญะกะ ร็อบบุกะ มิม บัยติกะ บิลฮักฺกฺิ วะอินนะ ฟะรีกฺ็อม มินัล มุอ์มินีนะ ละการิฮูน
6,ยุญาดิลูนะกะ ฟิล ฮักฺกฺิ บะอฺ์ดะ มา ตะบัยยะนะ กะอันนะมา ยุสากฺูนะ อิลัล เมาติ วะฮุม ยันซฺุรูน
7,วะอิซ ยะอฺิดุกุมุล ลอฮุ อิห์ดัฏ ฏออิฟะตัยนิ อันนะฮา ละกุม วะตะวัดดูนะ อันนะ ฆ็อยเราะ ซาติช เชากะติ ตะกูนุ ละกุม วะยุรีดุล ลอฮุ อัย ยุฮิกฺกฺ็อล ฮักฺเกฺาะ บิกะลิมาติฮี วะยักฺเฏาะอฺะ ดาบิร็อล กาฟิรีน
8,ลิยุฮิกฺกฺ็อล ฮักฺเกฺาะ วะยุบฏิลัล บาฏิละ วะเลา กะริฮัล มุจญ์ริมูน
9,อิซ ตัสตะฆีษูนะ ร็อบบะกุม ฟัสตะญาบะ ละกุม อันนี มุมิดดุกุม บิอัลฟิม มินัล มะลาอิกะติ มุรดิฟีน
10,วะมา ญะอฺะละฮุล ลอฮุ อิลลา บุชรอ วะลิตัฏมะอินนะ บิฮี กฺุลูบุกุม  ^  วะมัน นัศรุ อิลลา มิน อฺินดิล ลาฮ์  ^  อินนัล ลอฮะ อฺะซีซุน ฮะกีม
11,อิซ ยุฆ็อชชีกุมุน นุอฺาสะ อะมะนะตัม มินฮุ วะยุนัซซิลุ อฺะลัยกุม มินัส สะมาอิ มาอัล ลิยุเฏาะฮ์ฮิเราะกุม บิฮี วะยุซฮิบะ อฺันกุม ริจญ์ซัช ชัยฏอนิ วะลิยัรบิเฏาะ อฺะลา กฺุลูบิกุม วะยุษับบิตะ บิฮิล อักฺดาม
12,อิซ ยูฮี ร็อบบุกะ อิลัล มะลาอิกะติ อันนี มะอฺะกุม ฟะษับบิตุล ละซีนะ อามะนู  ^  สะอุลกฺี ฟี กฺุลูบิล ละซีนะ กะฟะรุร รุอฺ์บะ ฟัฎริบู เฟากฺ็อล อะอฺ์นากฺิ วัฎริบู มินฮุม กุลละ บะนาน
13,ซาลิกะ บิอันนะฮุม ชา-กฺกฺุล ลอฮะ วะเราะสูละฮ์  ^  วะมัย ยุชากฺิกฺิล ลาฮะ วะเราะสูละฮู ฟะอินนัล ลอฮะ ชะดีดุล อฺิกฺอบ
14,ซาลิกุม ฟะซูกฺูฮุ วะอันนะ ลิลกาฟิรีนะ อฺะซาบัน นาร
