id,t
1,อฺะบะสะ วะตะวัลลา
2,อัน ญาอะฮุล อะอฺ์มา
3,วะมา ยุดรีกะ ละอฺัลละฮู ยัซซักกา
4,เอา ยัซซักกะรุ ฟะตันฟะอฺะฮุซ ซิกรอ
5,อัมมา มะนิส ตัฆนา
6,ฟะอันตะ ละฮู ตะศ็อดดา
7,วะมา อฺะลัยกะ อัลลา ยัซซักกา
8,วะอัมมา มัน ญาอะกะ ยัสอฺา
9,วะฮุวะ ยัคชา
10,ฟะอันตะ อฺันฮุ ตะละฮ์ฮา
11,กัลลา อินนะฮา ตัซกิเราะฮ์
12,ฟะมัน ชาอะ ซะกะเราะฮ์
13,ฟี ศุฮุฟิม มุกัรเราะมะฮ์
14,มัรฟูอฺะติม มุเฏาะฮ์ฮะเราะฮ์
15,บิอัยดี สะฟะเราะฮ์
16,กิรอมิม บะเราะเราะฮ์
17,กฺุติลัล อินสานุ มา อักฟะเราะฮ์
18,มิน อัยยิ ชัยอิน เคาะละเกฺาะฮ์
19,มิน นุฏฟะติน เคาะละเกฺาะฮู ฟะกฺ็อดดะเราะฮ์
20,ษุมมัส สะบีละ ยัสสะเราะฮ์
21,ษุมมะ อะมาตะฮู ฟะอักฺบะเราะฮ์
22,ษุมมะ อิซา ชาอะ อันชะเราะฮ์
23,กัลลา ลัมมา ยักฺฎิ มา อะมะเราะฮ์
24,ฟัลยันซฺุริล อินสานุ อิลา เฏาะอฺามิฮ์
25,อันนา เศาะบับนัล มาอะ ศ็อบบา
26,ษุมมะ ชะกฺ็อกฺนัล อัรเฎาะ ชักฺกฺอ
27,ฟะอัมบัตนา ฟีฮา ฮับบา
28,วะอฺินะเบา วะกฺ็อฎบา
29,วะซัยตูเนา วะนัคลา
30,วะฮะดาอิเกฺาะ ฆุลบา
31,วะฟากิฮะเตา วะอับบา
32,มะตาอฺัล ละกุม วะลิอันอฺามิกุม
33,ฟะอิซา ญาอะติศ ศอ-คเคาะฮ์
34,เยามะ ยะฟิรรุล มัรอุ มิน อะคีฮ์
35,วะอุมมิฮี วะอะบีฮ์
36,วะศอฮิบะติฮี วะบะนีฮ์
37,ลิกุลลิม รีอิม มินฮุม เยามะอิซิน ชะอ์นุย ยุฆนีฮ์
38,วุญูฮุย เยามะอิซิม มุสฟิเราะฮ์
39,ฎอฮิกะตุม มุสตับชิเราะฮ์
40,วะวุญูฮุย เยามะอิซิน อฺะลัยฮา เฆาะบะเราะฮ์
41,ตัรฮะกฺุฮา เกฺาะตะเราะฮ์
42,อุลาอิกะ ฮุมุล กะฟะเราะตุล ฟะญะเราะฮ์
