id,t
1,อิซัช ชัมสุ กูว์วิร็อต
2,วะอิซัน นุญูมุน กะดะร็อต
3,วะอิซัล ญิบาลุ สุยยิร็อต
4,วะอิซัล อฺิชารุ อฺุฏฏิลัต
5,วะอิซัล วุฮูชุ ฮุชิร็อต
6,วะอิซัล บิฮารุ สุจญ์ญิร็อต
7,วะอิซัน นุฟูสุ ซูว์วิญัต
8,วะอิซัล เมาอูดะตุ สุอิลัต
9,บิอัยยิ ซัมบิน กฺุติลัต
10,วะอิซัศ ศุฮุฟุ นุชิร็อต
11,วะอิซัส สะมาอุ กุชิฏ็อต
12,วะอิซัล ญะฮีมุ สุอฺ์อฺิร็อต
13,วะอิซัล ญันนะตุ อุซลิฟัต
14,อฺะลิมัต นัฟสุม มา อะห์เฎาะร็อต
15,ฟะลา อุกฺสิมุ บิลคุนนัส
16,อัลญะวาริล กุนนัส
17,วัลลัยลิ อิซา อฺัสอฺัส
18,วัศศุบฮิ อิซา ตะนัฟฟัส
19,อินนะฮู ละเกฺอ์าลุ เราะสูลิน กะรีม
20,ซี กฺูว์วะติน อฺินดะ ซิล อฺัรชิ มะกีน
21,มุฏออฺิน ษัมมะ อะมีน
22,วะมา ศอฮิบุกุม บิมัจญ์นูน
23,วะละกฺ็อด เราะอาฮุ บิลอุฟุกฺิล มุบีน
24,วะมา ฮุวะ อฺะลัล ฆ็อยบิ บิเฎาะนีน
25,วะมา ฮุวะ บิเกฺอ์าลิ ชัยฏอนิร เราะญีม
26,ฟะอัยนะ ตัซฮะบูน
27,อิน ฮุวะ อิลลา ซิกรุล ลิลอฺาละมีน
28,ลิมัน ชาอะ มินกุม อัย ยัสตะกฺีม
29,วะมา ตะชาอูนะ อิลลา อัย ยะชาอัล ลอฮุ ร็อบบุล อฺาละมีน
