id,t
1,อิซัส สะมาอุน ฟะเฏาะร็อต
2,วะอิซัล กะวากิบุน ตะษะร็อต
3,วะอิซัล บิฮารุ ฟุจญ์ญิร็อต
4,วะอิซัล กฺุบูรุ บุอฺ์ษิร็อต
5,อฺะลิมัต นัฟสุม มา กฺ็อดดะมัต วะอัคเคาะร็อต
6,ยาอัยยุฮัล อินสานุ มา ฆ็อรเราะกะ บิร็อบบิกัล กะรีม
7,อัลละซี เคาะละเกฺาะกะ ฟะเสาวากะ ฟะอฺะดะลัก
8,ฟี อัยยิ ศูเราะติม มา ชาอะ ร็อกกะบัก
9,กัลลา บัล ตุกัซซิบูนะ บิดดีน
10,วะอินนะ อฺะลัยกุม ละฮาฟิซฺีน
11,กิรอมัน กาติบีน
12,ยะอฺ์ละมูนะ มา ตัฟอฺะลูน
13,อินนัล อับรอเราะ ละฟี นะอฺีม
14,วะอินนัล ฟุจญ์ญาเราะ ละฟี ญะฮีม
15,ยัศเลานะฮา เยามัด ดีน
16,วะมา ฮุม อฺันฮา บิฆออิบีน
17,วะมา อัดรอกะ มา เยามุด ดีน
18,ษุมมะ มา อัดรอกะ มา เยามุด ดีน
19,เยามะ ลา ตัมลิกุ นัฟสุล ลินัฟสิน ชัยอา  ^  วัลอัมรุ เยามะอิซิล ลิลลาฮ์
