id,t
1,วัยลุล ลิลมุฏ็อฟฟิฟีน
2,อัลละซีนะ อิซัก ตาลู อฺะลัน นาสิ ยัสเตาฟูน
3,วะอิซา กาลูฮุม เอา วะซะนูฮุม ยุคสิรูน
4,อะลา ยะซฺุนนุ อุลาอิกะ อันนะฮุม มับอฺูษูน
5,ลิเยามิน อฺะซฺีม
6,เยามะ ยะกฺูมุน นาสุ ลิร็อบบิล อฺาละมีน
7,กัลลา อินนะ กิตาบัล ฟุจญ์ญาริ ละฟี สิจญ์ญีน
8,วะมา อัดรอกะ มา สิจญ์ญีน
9,กิตาบุม มัรกฺูม
10,วัยลุย เยามะอิซิล ลิลมุกัซซิบีน
11,อัลละซีนะ ยุกัซซิบูนะ บิเยามิด ดีน
12,วะมา ยุกัซซิบุ บิฮี อิลลา กุลลุ มุอฺ์ตะดิน อะษีม
13,อิซา ตุตลา อฺะลัยฮิ อายาตุนา กฺอละ อะสาฏีรุล เอาวะลีน
14,กัลลา  ^  บัล รอนะ อฺะลา กฺุลูบิฮิม มา กานู ยักสิบูน
15,กัลลา อินนะฮุม อฺัร ร็อบบิฮิม เยามะอิซิล ละมะห์ญูบูน
16,ษุมมะ อินนะฮุม ละศอลุล ญะฮีม
17,ษุมมะ ยุกฺอลุ ฮาซัล ละซี กุนตุม บิฮี ตุกัซซิบูน
18,กัลลา อินนะ กิตาบัล อับรอริ ละฟี อฺิลลีย์ยีน
19,วะมา อัดรอกะ มา อฺิลลีย์ยูน
20,กิตาบุม มัรกฺูม
21,ยัชฮะดุฮุล มุกฺ็อรเราะบูน
22,อินนัล อับรอเราะ ละฟี นะอฺีม
23,อฺะลัล อะรออิกิ ยันซฺุรูน
24,ตะอฺ์ริฟุ ฟี วุญูฮิฮิม นัฎเราะตัน นะอฺีม
25,ยุสเกฺอ์านะ มิร เราะฮีกฺิม มัคตูม
26,คิตามุฮู มิสก์  ^  วะฟี ซาลิกะ ฟัลยะตะนาฟะสิล มุตะนาฟิสูน
27,วะมิซาญุฮู มิน ตัสนีม
28,อฺัยนัย ยัชเราะบุ บิฮัล มุกฺ็อรเราะบูน
29,อินนัล ละซีนะ อัจญ์เราะมู กานู มินัล ละซีนะ อามะนู ยัฎฮะกูน
30,วะอิซา มัรรู บิฮิม ยะตะฆอมะซูน
31,วะอิซัน เกฺาะละบู อิลา อะฮ์ลิฮิมุน เกฺาะละบู ฟะกิฮีน
32,วะอิซา เราะเอาฮุม กฺอลู อินนะ ฮาอุลาอิ ละฎอ-ลลูน
33,วะมา อุรสิลู อฺะลัยฮิม ฮาฟิซฺีน
34,ฟัลเยามัล ละซีนะ อามะนู มินัล กุฟฟาริ ยัฎฮะกูน
35,อฺะลัล อะรออิกิ ยันซฺุรูน
36,ฮัล ษูว์วิบัล กุฟฟารุ มา กานู ยัฟอฺะลูน
