id,t
1,อิซัส สะมาอุน ชักฺกฺ็อต
2,วะอะซินัต ลิร็อบบิฮา วะฮุกฺกฺ็อต
3,วะอิซัล อัรฎุ มุดดัต
4,วะอัลกฺ็อต มา ฟีฮา วะตะค็อลลัต
5,วะอะซินัต ลิร็อบบิฮา วะฮุกฺกฺ็อต
6,ยาอัยยุฮัล อินสานุ อินนะกะ กาดิฮุน อิลา ร็อบบิกะ กัดฮัน ฟะมุลากฺีฮ์
7,ฟะอัมมา มัน อูติยะ กิตาบะฮู บิยะมีนิฮ์
8,ฟะเสาฟะ ยุฮาสะบุ ฮิสาบัย ยะสีรอ
9,วะยันเกฺาะลิบุ อิลา อะฮ์ลิฮี มัสรูรอ
10,วะอัมมา มัน อูติยะ กิตาบะฮู วะรออะ เซฺาะฮ์ริฮ์
11,ฟะเสาฟะ ยัดอฺู ษุบูรอ
12,วะยัศลา สะอฺีรอ
13,อินนะฮู กานะ ฟี อะฮ์ลิฮี มัสรูรอ
14,อินนะฮู ซฺ็อนนะ อัล ลัย ยะฮูร
15,บะลา  ^  อินนะ ร็อบบะฮู กานะ บิฮี บะศีรอ
16,ฟะลา อุกฺสิมุ บิชชะฟักฺ
17,วัลลัยลิ วะมา วะสักฺ
18,วัลเกฺาะมะริ อิซัต ตะสักฺ
19,ละตัรกะบุนนะ เฏาะบะกฺ็อน อฺัน เฏาะบักฺ
20,ฟะมา ละฮุม ลา ยุอ์มินูน
21,วะอิซา กฺุริอะ อฺะลัยฮิมุล กฺุรอานุ ลา ยัสญุดูน
22,บะลิล ละซีนะ กะฟะรู ยุกัซซิบูน
23,วัลลอฮุ อะอฺ์ละมุ บิมา ยูอฺูน
24,ฟะบัชชิรฮุม บิอฺะซาบิน อะลีม
25,อิลลัล ละซีนะ อามะนู วะอฺะมิลุศ ศอลิฮาติ ละฮุม อัจญ์รุน ฆ็อยรุ มัมนูน
