id,t
1,วัสสะมาอิ ซาติล บุรูจญ์
2,วัลเยามิล เมาอฺูด
3,วะชาฮิดิว วะมัชฮูด
4,กฺุติละ อัศฮาบุล อุคดูด
5,อันนาริ ซาติล วะกฺูด
6,อิซ ฮุม อฺะลัยฮา กฺุอฺูด
7,วะฮุม อฺะลา มา ยัฟอฺะลูนะ บิลมุอ์มินีนะ ชุฮูด
8,วะมา นะเกฺาะมู มินฮุม อิลลา อัย ยุอ์มินู บิลลาฮิล อฺะซีซิล ฮะมีด
9,อัลละซี ละฮู มุลกุส สะมาวาติ วัลอัรฎ์  ^  วัลลอฮุ อฺะลา กุลลิ ชัยอิน ชะฮีด
10,อินนัล ละซีนะ ฟะตะนุล มุอ์มินีนะ วัลมุอ์มินาติ ษุมมะ ลัม ยะตูบู ฟะละฮุม อฺะซาบุ ญะฮันนะมะ วะละฮุม อฺะซาบุล ฮะรีกฺ
11,อินนัล ละซีนะ อามะนู วะอฺะมิลุศ ศอลิฮาติ ละฮุม ญันนาตุน ตัจญ์รี มิน ตะห์ติฮัล อันฮาร  ^  ซาลิกัล เฟาซุล กะบีร
12,อินนะ บัฏชะ ร็อบบิกะ ละชะดีด
13,อินนะฮู ฮุวะ ยุบดิอุ วะยุอฺีด
14,วะฮุวัล เฆาะฟูรุล วะดูด
15,ซุล อฺัรชิล มะญีด
16,ฟะอฺ์อฺาลุล ลิมา ยุรีด
17,ฮัล อะตากะ ฮะดีษุล ญุนูด
18,ฟิรเอฺานะ วะษะมูด
19,บะลิล ละซีนะ กะฟะรู ฟี ตักซีบ
20,วัลลอฮุ มิว วะรออิฮิม มุฮีฏ
21,บัล ฮุวะ กฺุรอานุม มะญีด
22,ฟี เลาฮิม มะห์ฟูซฺ
