id,t
1,วัสสะมาอิ วัฏฏอริกฺ
2,วะมา อัดรอกะ มัฏ ฏอริกฺ
3,อันนัจญ์มุษ ษากฺิบ
4,อิน กุลลุ นัฟสิล ลัมมา อฺะลัยฮา ฮาฟิซฺ
5,ฟัลยันซฺุริล อินสานุ มิมมะ คุลิกฺ
6,คุลิเกฺาะ มิม มาอิน ดาฟิกฺ
7,ยัครุญุ มิม บัยนิศ ศุลบิ วัตตะรออิบ
8,อินนะฮู อฺะลา ร็อจญ์อฺิฮี ละกฺอดิร
9,เยามะ ตุบลัส สะรออิร
10,ฟะมา ละฮู มิน กฺูว์วะติว วะลา นาศิร
11,วัสสะมาอิ ซาติร ร็อจญ์อฺ์
12,วัลอัรฎิ ซาติศ ศ็อดอฺ์
13,อินนะฮู ละเกฺอ์าลุน ฟัศล์
14,วะมา ฮุวะ บิลฮัซล์
15,อินนะฮุม ยะกีดูนะ กัยดา
16,วะอะกีดุ กัยดา
17,ฟะมะฮ์ฮิลิล กาฟิรีนะ อัมฮิลฮุม รุวัยดา
