id,t
1,สับบิฮิส มะ ร็อบบิกัล อะอฺ์ล์
2,อัลละซี เคาะละเกฺาะ ฟะเสาวา
3,วัลละซี กฺ็อดดะเราะ ฟะฮะดา
4,วัลละซี อัคเราะญัล มัรอฺา
5,ฟะญะอฺะละฮู ฆุษาอัน อะห์วา
6,สะนุกฺริอุกะ ฟะลา ตันสา
7,อิลลา มา ชาอัล ลอฮ์  ^  อินนะฮู ยะอฺ์ละมุล ญะฮ์เราะ วะมา ยัคฟา
8,วะนุยัสสิรุกะ ลิลยุสรอ
9,ฟะซักกิร อิน นะฟะอฺะติซ ซิกรอ
10,สะยัซซักกะรุ มัย ยัคชา
11,วะยะตะญันนะบุฮัล อัชกฺ์
12,อัลละซี ยัศลัน นาร็อล กุบรอ
13,ษุมมะ ลา ยะมูตุ ฟีฮา วะลา ยะห์ยา
14,กฺ็อด อัฟละฮะ มัน ตะซักกา
15,วะซะกะร็อส มะ ร็อบบิฮี ฟะศ็อลลา
16,บัล ตุอ์ษิรูนัล ฮะยาตัด ดุนยา
17,วัลอาคิเราะตุ ค็อยรู วะอับกฺอ
18,อินนะ ฮาซา ละฟิศ ศุฮุฟิล อูลา
19,ศุฮุฟิ อิบรอฮีมะ วะมูสา
