id,t
1,ฮัล อะตากะ ฮะดีษุล ฆอชิยะฮ์
2,วุญูฮุย เยามะอิซิน คอชิอฺะฮ์
3,อฺามิละตุน นาศิบะฮ์
4,ตัศลา นาร็อน ฮามิยะฮ์
5,ตุสกฺอ มิน อฺัยนิน อานิยะฮ์
6,ลัยสะ ละฮุม เฏาะอฺามุน อิลลา มิน เฎาะรีอฺ์
7,ลา ยุสมินุ วะลา ยุฆนี มิน ญูอฺ์
8,วุญูฮุย เยามะอิซิน นาอฺิมะฮ์
9,ลิสะอฺ์ยิฮา รอฎิยะฮ์
10,ฟี ญันนะติน อฺาลิยะฮ์
11,ลา ตัสมะอฺุ ฟีฮา ลาฆิยะฮ์
12,ฟีฮา อฺัยนุน ญาริยะฮ์
13,ฟีฮา สุรุรุม มัรฟูอฺะฮ์
14,วะอักวาบุม เมาฎูอฺะฮ์
15,วะนะมาริกฺุ มัศฟูฟะฮ์
16,วะซะรอบีย์ยุ มับษูษะฮ์
17,อะฟะลา ยันซฺุรูนะ อิลัล อิบิลิ กัยฟะ คุลิกฺ็อต
18,วะอิลัส สะมาอิ กัยฟะ รุฟิอฺัต
19,วะอิลัล ญิบาลิ กัยฟะ นุศิบัต
20,วะอิลัล อัรฎิ กัยฟะ สุฏิฮัต
21,ฟะซักกิร อินนะมา อันตะ มุซักกิร
22,ลัสตะ อฺะลัยฮิม บิมุศ็อยฏิร
23,อิลลา มัน ตะวัลลา วะกะฟัร
24,ฟะยุอฺัซซิบุฮุล ลอฮุล อฺะซาบัล อักบัร
25,อินนะ อิลัยนา อิยาบะฮุม
26,ษุมมะ อินนะ อฺะลัยนา ฮิสาบะฮุม
