id,t
1,วัลฟัจญ์ร์
2,วะละยาลิน อฺัชร์
3,วัชชัฟอฺิ วัลวัตร์
4,วัลลัยลิ อิซา ยัสร์
5,ฮัล ฟี ซาลิกะ เกฺาะสะมุล ลิซี ฮิจญ์ร์
6,อะลัม ตะเราะ กัยฟะ ฟะอฺะละ ร็อบบุกะ บิอฺาด
7,อิเราะมะ ซาติล อฺิมาด
8,อัลละตี ลัม ยุคลักฺ มิษลุฮา ฟิล บิลาด
9,วะษะมูดัล ละซีนะ ญาบุศ ศ็อคเราะ บิลวาด
10,วะฟิรเอฺานะ ซิล เอาตาด
11,อัลละซีนะ เฏาะเฆอ์า ฟิล บิลาด
12,ฟะอักษะรู ฟีฮัล ฟะสาด
13,ฟะศ็อบบะ อฺะลัยฮิม ร็อบบุกะ เสาเฏาะ อฺะซาบ
14,อินนะ ร็อบบะกะ ละบิลมิรศอด
15,ฟะอัมมัล อินสานุ อิซา มับ ตะลาฮุ ร็อบบุฮู ฟะอักเราะมะฮู วะนะอฺ์อฺะมะฮู ฟะยะกฺูลุ ร็อบบี อักเราะมัน
16,วะอัมมา อิซา มับ ตะลาฮุ ฟะเกฺาะดะเราะ อฺะลัยฮิ ริซเกฺาะฮู ฟะยะกฺูลุ ร็อบบี อะฮานัน
17,กัลลา  ^  บัล ลา ตุกริมูนัล ยะตีม
18,วะลา ตะฮา-ฎฎูนะ อฺะลา เฏาะอฺามิล มิสกีน
19,วะตะอ์กุลูนัต ตุรอษะ อักลัล ลัมมา
20,วะตุฮิบบูนัล มาละ ฮุบบัน ญัมมา
21,กัลลา  ^  อิซา ดุกกะติล อัรฎุ ดักกัน ดักกา
22,วะญาอะ ร็อบบุกะ วัลมะละกุ ศ็อฟฟัน ศ็อฟฟา
23,วะญีอะ เยามะอิซิม บิญะฮันนัม  ^  เยามะอิซี ยะตะซักกะรุล อินสานุ วะอันนา ละฮุซ ซิกรอ
24,ยะกฺูลุ ยาลัยตะนี กฺ็อดดัมตุ ลิฮะยาตี
25,ฟะเยามะอิซิล ลา ยุอฺัซซิบุ อฺะซาบะฮู อะฮัด
26,วะลา ยูษิกฺุ วะษาเกฺาะฮู อะฮัด
27,ยาอัยยะตุฮัน นัฟสุล มุฏมะอินนะฮ์
28,อิรญิอฺี อิลา ร็อบบิกิ รอฎิยะตัม มัรฎีย์ยะฮ์
29,ฟัดคุลี ฟี อฺิบาดี
30,วัดคุลี ญันนะตี
