id,t
1,บะรออะตุม มินัล ลอฮิ วะเราะสูลิฮี อิลัล ละซีนะ อฺาฮัตตุม มินัล มุชริกีน
2,ฟะสีฮู ฟิล อัรฎิ อัรบะอฺะตะ อัชฮุริว วะอฺ์ละมู อันนะกุม ฆ็อยรุ มุอฺ์ญิซิล ลาฮิ วะอันนัล ลอฮะ มุคซิล กาฟิรีน
3,วะอะซานุม มินัล ลอฮิ วะเราะสูลิฮี อิลัน นาสิ เยามัล ฮัจญ์ญิล อักบะริ อันนัล ลอฮะ บะรีอุม มินัล มุชริกีนะ วะเราะสูลุฮ์  ^  ฟะอิน ตุบตุม ฟะฮุวะ ค็อยรุล ละกุม  ^  วะอิน ตะวัลลัยตุม ฟะอฺ์ละมู อันนะกุม ฆ็อยรุ มุอฺ์ญิซิล ลาฮ์  ^  วะบัชชิริล ละซีนะ กะฟะรู บิอฺะซาบิน อะลีม
4,อิลลัล ละซีนะ อฺาฮัตตุม มินัล มุชริกีนะ ษุมมะ ลัม ยันกฺุศูกุม ชัยเอา วะลัม ยุซฺอฮิรู อฺะลัยกุม อะฮะดัน ฟะอะติมมู อิลัยฮิม อฺะฮ์ดะฮุม อิลา มุดดะติฮิม  ^  อินนัล ลอฮะ ยุฮิบบุล มุตตะกฺีน
5,ฟะอิซัน สะละค็อล อัชฮุรุล ฮุรุมุ ฟักฺตุลุล มุชริกีนะ ฮัยษุ วะญัตตุมูฮุม วะคุซูฮุม วะห์ศุรูฮุม วักฺอฺุดู ละฮุม กุลละ มัรศ็อด  ^  ฟะอิน ตาบู วะอะกฺอมุศ เศาะลาตะ วะอาตะวุซ ซะกาตะ ฟะค็อลลู สะบีละฮุม  ^  อินนัล ลอฮะ เฆาะฟูรุร เราะฮีม
6,วะอิน อะฮะดุม มินัล มุชริกีนัส ตะญาเราะกะ ฟะอะญิรฮุ ฮัตตา ยัสมะอฺะ กะลามัล ลอฮิ ษุมมะ อับลิฆฮุ มะอ์มะนะฮ์  ^  ซาลิกะ บิอันนะฮุม เกฺอ์ามุล ลา ยะอฺ์ละมูน
7,กัยฟะ ยะกูนุ ลิลมุชริกีนะ อฺะฮ์ดุน อฺินดัล ลอฮิ วะอฺินดะ เราะสูลิฮี อิลลัล ละซีนะ อฺาฮัตตุม อฺินดัล มัสญิดิล ฮะรอม  ^  ฟะมัส ตะกฺอมู ละกุม ฟัสตะกฺีมู ละฮุม  ^  อินนัล ลอฮะ ยุฮิบบุล มุตตะกฺีน
8,กัยฟะ วะอี ยัซฺฮะรู อฺะลัยกุม ลา ยัรกฺุบู ฟีกุม อิลเลา วะลา ซิมมะฮ์  ^  ยุรฎูนะกุม บิอัฟวาฮิฮิม วะตะอ์บา กฺุลูบุฮุม วะอักษะรุฮุม ฟาสิกฺูน
9,อิชตะเรอ์า บิอายาติล ลาฮิ ษะมะนัน เกฺาะลีลัน ฟะศ็อดดู อฺัน สะบีลิฮ์  ^  อินนะฮุม สาอะ มา กานู ยะอฺ์มะลูน
10,ลา ยัรกฺุบูนะ ฟี มุอ์มินิน อิลเลา วะลา ซิมมะฮ์  ^  วะอุลาอิกะ ฮุมุล มุอฺ์ตะดูน
11,ฟะอิน ตาบู วะอะกฺอมุศ เศาะลาตะ วะอาตะวุซ ซะกาตะ ฟะอิควานุกุม ฟิด ดีน  ^  วะนุฟัศศิลุล อายาติ ลิเกฺอ์ามี ยะอฺ์ละมูน
12,วะอิน นะกะษู อัยมานะฮุม มิม บะอฺ์ดิ อฺะฮ์ดิฮิม วะเฏาะอฺะนู ฟี ดีนิกุม ฟะกฺอติลู อะอิมมะตัล กุฟริ อินนะฮุม ลา อัยมานะ ละฮุม ละอฺัลละฮุม ยันตะฮูน
