id,t
1,ลา อุกฺสิมุ บิฮาซัล บะลัด
2,วะอันตะ ฮิลลุม บิฮาซัล บะลัด
3,วะวาลิดิว วะมา วะลัด
4,ละกฺ็อด เคาะลักฺนัล อินสานะ ฟี กะบัด
5,อะยะห์สะบุ อัล ลัย ยักฺดิเราะ อฺะลัยฮิ อะฮัด
6,ยะกฺูลุ อะฮ์ลักตุ มาลัล ลุบะดา
7,อะยะห์สะบุ อัล ลัม ยะเราะฮู อะฮัด
8,อะลัม นัจญ์อฺัล ละฮู อฺัยนัยน์
9,วะลิสาเนา วะชะฟะตัยน์
10,วะฮะดัยนาฮุน นัจญ์ดัยน์
11,ฟะลักฺ ตะฮะมัล อฺะเกฺาะบะฮ์
12,วะมา อัดรอกะ มัล อฺะเกฺาะบะฮ์
13,ฟักกุ เราะเกฺาะบะฮ์
14,เอา อิฏอฺามุน ฟี เยามิน ซี มัสเฆาะบะฮ์
15,ยะตีมัน ซา มักฺเราะบะฮ์
16,เอา มิสกีนัน ซา มัตเราะบะฮ์
17,ษุมมะ กานะ มินัล ละซีนะ อามะนู วะตะวาเศอ์า บิศศ็อบริ วะตะวาเศอ์า บิลมัรฮะมะฮ์
18,อุลาอิกะ อัศฮาบุล มัยมะนะฮ์
19,วัลละซีนะ กะฟะรู บิอายาตินา ฮุม อัศฮาบุล มัชอะมะฮ์
20,อฺะลัยฮิม นารุม มุอ์เศาะดะฮ์
