id,t
1,วัลลัยลิ อิซา ยัฆชา
2,วันนะฮาริ อิซา ตะญัลลา
3,วะมา เคาะละกฺ็อซ ซะกะเราะ วัลอุนษา
4,อินนะ สะอฺ์ยะกุม ละชัตตา
5,ฟะอัมมา มัน อะอฺ์ฏอ วัตตะกฺอ
6,วะศ็อดดะเกฺาะ บิลฮุสนา
7,ฟะสะนุยัสสิรุฮู ลิลยุสรอ
8,วะอัมมา มัม บะคิละ วัสตัฆนา
9,วะกัซซะบะ บิลฮุสนา
10,ฟะสะนุยัสสิรุฮู ลิลอฺุสรอ
11,วะมา ยุฆนี อฺันฮุ มาลุฮู อิซา ตะร็อดดา
12,อินนะ อฺะลัยนา ลัลฮุดา
13,วะอินนะ ละนา ลัลอาคิเราะตะ วัลอูลา
14,ฟะอันซัรตุกุม นาร็อน ตะลัซฺซฺอ
15,ลา ยัศลาฮา อิลลัล อัชกฺ์
16,อัลละซี กัซซะบะ วะตะวัลลา
17,วะสะยุญันนะบุฮัล อัตกฺ์
18,อัลละซี ยุอ์ตี มาละฮู ยะตะซักกา
19,วะมา ลิอะฮะดิน อฺินดะฮู มิน นิอฺ์มะติน ตุจญ์ซา
20,อิลลับ ติฆออะ วัจญ์ฮิ ร็อบบิฮิล อะอฺ์ลา
21,วะละเสาฟะ ยัรฎอ
