id,t
1,อิกฺเราะอ์ บิสมิ ร็อบบิกัล ละซี เคาะลักฺ
2,เคาะละกฺ็อล อินสานะ มิน อฺะลักฺ
3,อิกฺเราะอ์ วะร็อบบุกัล อักร็อม
4,อัลละซี อฺัลละมะ บิลเกฺาะลัม
5,อฺัลละมัล อินสานะ มา ลัม ยะอฺ์ลัม
6,กัลลา อินนัล อินสานะ ละยัฏฆอ
7,อัร เราะอาฮุส ตัฆนา
8,อินนะ อิลา ร็อบบิกัร รุจญ์อฺา
9,อะเราะอัยตัล ละซี ยันฮา
10,อฺับดัน อิซา ศ็อลลา
11,อะเราะอัยตะ อิน กานะ อฺะลัล ฮุดา
12,เอา อะมะเราะ บิตตักฺวา
13,อะเราะอัยตะ อิน กัซซะบะ วะตะวัลลา
14,อะลัม ยะอฺ์ลัม บิอันนัล ลอฮะ ยะรอ
15,กัลลา ละอิล ลัม ยันตะฮิ ละนัสฟะอฺัม บินนาศิยะฮ์
16,นาศิยะติน กาซิบะติน คอฏิอะฮ์
17,ฟัลยัดอฺุ นาดิยะฮ์
18,สะนัดอฺุซ ซะบานิยะฮ์
19,กัลลา ลา ตุฏิอฺ์ฮุ วัสญุด วักฺตัร
